,Chick,Age,weight
157,14,2,49
158,14,4,62
159,14,6,79
160,14,8,101
161,14,10,128
162,14,12,164
163,14,14,192
164,14,16,227
165,14,18,248
166,14,20,259
167,14,21,266
183,17,0,42
184,17,2,51
185,17,4,61
186,17,6,72
187,17,8,83
188,17,10,89
189,17,12,98
190,17,14,103
191,17,16,113
192,17,18,123
193,17,20,133
194,17,21,142
197,19,0,43
198,19,2,48
199,19,4,55
200,19,6,62
201,19,8,65
202,19,10,71
203,19,12,82
204,19,14,88
205,19,16,106
206,19,18,120
207,19,20,144
208,19,21,157
209,20,0,41
210,20,2,47
211,20,4,54
212,20,6,58
213,20,8,65
214,20,10,73
215,20,12,77
216,20,14,89
217,20,16,98
218,20,18,107
219,20,20,115
220,20,21,117
221,21,0,40
222,21,2,50
223,21,4,62
224,21,6,86
225,21,8,125
226,21,10,163
227,21,12,217
228,21,14,240
229,21,16,275
230,21,18,307
231,21,20,318
232,21,21,331
233,22,0,41
234,22,2,55
235,22,4,64
236,22,6,77
237,22,8,90
238,22,10,95
239,22,12,108
240,22,14,111
241,22,16,131
242,22,18,148
243,22,20,164
244,22,21,167
245,23,0,43
246,23,2,52
247,23,4,61
248,23,6,73
249,23,8,90
250,23,10,103
251,23,12,127
252,23,14,135
253,23,16,145
254,23,18,163
255,23,20,170
256,23,21,175
257,24,0,42
258,24,2,52
259,24,4,58
260,24,6,74
261,24,8,66
262,24,10,68
263,24,12,70
264,24,14,71
265,24,16,72
266,24,18,72
267,24,20,76
268,24,21,74
269,25,0,40
270,25,2,49
271,25,4,62
272,25,6,78
273,25,8,102
274,25,10,124
275,25,12,146
276,25,14,164
277,25,16,197
278,25,18,231
279,25,20,259
280,25,21,265
281,26,0,42
282,26,2,48
283,26,4,57
284,26,6,74
285,26,8,93
286,26,10,114
287,26,12,136
288,26,14,147
289,26,16,169
290,26,18,205
291,26,20,236
292,26,21,251
293,27,0,39
294,27,2,46
295,27,4,58
296,27,6,73
297,27,8,87
298,27,10,100
299,27,12,115
300,27,14,123
301,27,16,144
302,27,18,163
303,27,20,185
304,27,21,192
305,28,0,39
306,28,2,46
307,28,4,58
308,28,6,73
309,28,8,92
310,28,10,114
311,28,12,145
312,28,14,156
313,28,16,184
314,28,18,207
315,28,20,212
316,28,21,233
317,29,0,39
318,29,2,48
319,29,4,59
320,29,6,74
321,29,8,87
322,29,10,106
323,29,12,134
324,29,14,150
325,29,16,187
326,29,18,230
327,29,20,279
328,29,21,309
329,30,0,42
330,30,2,48
331,30,4,59
332,30,6,72
333,30,8,85
334,30,10,98
335,30,12,115
336,30,14,122
337,30,16,143
338,30,18,151
339,30,20,157
340,30,21,150
341,31,0,42
342,31,2,53
343,31,4,62
344,31,6,73
345,31,8,85
346,31,10,102
347,31,12,123
348,31,14,138
349,31,16,170
350,31,18,204
351,31,20,235
352,31,21,256
353,32,0,41
354,32,2,49
355,32,4,65
356,32,6,82
357,32,8,107
358,32,10,129
359,32,12,159
360,32,14,179
361,32,16,221
362,32,18,263
363,32,20,291
364,32,21,305
365,33,0,39
366,33,2,50
367,33,4,63
368,33,6,77
369,33,8,96
370,33,10,111
371,33,12,137
372,33,14,144
373,33,16,151
374,33,18,146
375,33,20,156
376,33,21,147
377,34,0,41
378,34,2,49
379,34,4,63
380,34,6,85
381,34,8,107
382,34,10,134
383,34,12,164
384,34,14,186
385,34,16,235
386,34,18,294
387,34,20,327
388,34,21,341
389,35,0,41
390,35,2,53
391,35,4,64
392,35,6,87
393,35,8,123
394,35,10,158
395,35,12,201
396,35,14,238
397,35,16,287
398,35,18,332
399,35,20,361
400,35,21,373
401,36,0,39
402,36,2,48
403,36,4,61
404,36,6,76
405,36,8,98
406,36,10,116
407,36,12,145
408,36,14,166
409,36,16,198
410,36,18,227
411,36,20,225
412,36,21,220
413,37,0,41
414,37,2,48
415,37,4,56
416,37,6,68
417,37,8,80
418,37,10,83
419,37,12,103
420,37,14,112
421,37,16,135
422,37,18,157
423,37,20,169
424,37,21,178
425,38,0,41
426,38,2,49
427,38,4,61
428,38,6,74
429,38,8,98
430,38,10,109
431,38,12,128
432,38,14,154
433,38,16,192
434,38,18,232
435,38,20,280
436,38,21,290
437,39,0,42
438,39,2,50
439,39,4,61
440,39,6,78
441,39,8,89
442,39,10,109
443,39,12,130
444,39,14,146
445,39,16,170
446,39,18,214
447,39,20,250
448,39,21,272
449,40,0,41
450,40,2,55
451,40,4,66
452,40,6,79
453,40,8,101
454,40,10,120
455,40,12,154
456,40,14,182
457,40,16,215
458,40,18,262
459,40,20,295
460,40,21,321
461,41,0,42
462,41,2,51
463,41,4,66
464,41,6,85
465,41,8,103
466,41,10,124
467,41,12,155
468,41,14,153
469,41,16,175
470,41,18,184
471,41,20,199
472,41,21,204
473,42,0,42
474,42,2,49
475,42,4,63
476,42,6,84
477,42,8,103
478,42,10,126
479,42,12,160
480,42,14,174
481,42,16,204
482,42,18,234
483,42,20,269
484,42,21,281
485,43,0,42
486,43,2,55
487,43,4,69
488,43,6,96
489,43,8,131
490,43,10,157
491,43,12,184
492,43,14,188
493,43,16,197
494,43,18,198
495,43,20,199
496,43,21,200
507,45,0,41
508,45,2,50
509,45,4,61
510,45,6,78
511,45,8,98
512,45,10,117
513,45,12,135
514,45,14,141
515,45,16,147
516,45,18,174
517,45,20,197
518,45,21,196
519,46,0,40
520,46,2,52
521,46,4,62
522,46,6,82
523,46,8,101
524,46,10,120
525,46,12,144
526,46,14,156
527,46,16,173
528,46,18,210
529,46,20,231
530,46,21,238
531,47,0,41
532,47,2,53
533,47,4,66
534,47,6,79
535,47,8,100
536,47,10,123
537,47,12,148
538,47,14,157
539,47,16,168
540,47,18,185
541,47,20,210
542,47,21,205
543,48,0,39
544,48,2,50
545,48,4,62
546,48,6,80
547,48,8,104
548,48,10,125
549,48,12,154
550,48,14,170
551,48,16,222
552,48,18,261
553,48,20,303
554,48,21,322
555,49,0,40
556,49,2,53
557,49,4,64
558,49,6,85
559,49,8,108
560,49,10,128
561,49,12,152
562,49,14,166
563,49,16,184
564,49,18,203
565,49,20,233
566,49,21,237
567,50,0,41
568,50,2,54
569,50,4,67
570,50,6,84
571,50,8,105
572,50,10,122
573,50,12,155
574,50,14,175
575,50,16,205
576,50,18,234
577,50,20,264
578,50,21,264
